Compound1,Compound2,CAS1,CAS2,MF_mean,MF_std,Temp_mean,Temp_std
carbazole,1-chlorooctane,86-74-8,111-85-3,0.00242,0.0,25.0,0.0
carbazole,1-chlorotetradecane,86-74-8,2425-54-9,0.0024,0.0,25.0,0.0
carbazole,chlorocyclohexane,86-74-8,542-18-7,0.00291,0.0,25.0,0.0
carbazole,methanol,86-74-8,67-56-1,0.00183,0.0,25.0,0.0
carbazole,ethanol,86-74-8,64-17-5,0.00332,0.0,20.0,0.0
carbazole,1-propanol,86-74-8,71-23-8,0.00365,0.0,25.0,0.0
carbazole,2-propanol,86-74-8,67-63-0,0.005706666666666666,0.0026141962860929593,40.0,16.32993161855452
carbazole,1-butanol,86-74-8,71-36-3,0.00444,0.0,25.0,0.0
carbazole,1-octanol,86-74-8,540-84-1,0.00806,0.0,25.0,0.0
carbazole,phenol,86-74-8,108-95-2,0.00598,0.0,40.0,0.0
carbazole,2-propanone,86-74-8,67-64-1,0.0239,0.0,20.0,0.0
carbazole,carbon disulfide,86-74-8,75-15-0,0.00149,0.0,20.0,0.0
carbazole,pyridine,86-74-8,110-86-1,0.17117777777777776,0.09098996010278372,72.93333333333334,46.02539757810053
carbazole,thiophene,86-74-8,110-02-1,0.0213,0.006795954679071955,63.324999999999996,13.89251147201254
chrysene,benzene,218-01-9,71-43-2,0.0046,0.002205674500011278,53.6,13.962360115682449
dibenzofuran,cyclohexane,132-64-9,110-82-7,0.5931166666666666,0.12870618240352286,62.36666666666667,5.697782219620388
dibenzofuran,decahydronapthalene,132-64-9,91-17-8,0.524,0.07846979036546486,59.514000000000024,6.057291804098633
dibenzofuran,benzene,132-64-9,71-43-2,0.58214,0.08770326333723279,55.95,6.063992084427551
dibenzofuran,"1,2,3,4-tetrahydronaphthalene",132-64-9,119-64-2,0.58484,0.11200190355525211,55.95,8.22362450504642
dibenzofuran,pyridine,132-64-9,110-86-1,0.62168,0.09056249554865414,58.489999999999995,6.300031745951764
dibenzofuran,thiophene,132-64-9,110-02-1,0.5825333333333332,0.12196667122164516,54.63333333333333,9.780834433841637
dibenzothiophene,cyclohexane,132-65-0,110-82-7,0.19655,0.0971940455995119,59.76666666666667,8.481826978245245
dibenzothiophene,decahydronaphthalene,132-65-0,91-17-8,0.1734,0.05896664311286508,54.325,5.749945651917068
dibenzothiophene,benzene,132-65-0,71-43-2,0.3399,0.12299199973982047,53.35,12.384021963804814
dibenzothiophene,"1,2,3,4-tetrahydronnaphthalene",132-65-0,119-64-2,0.35219999999999996,0.09650071502325773,52.370000000000005,10.996981404003558
dibenzothiophene,pyridine,132-65-0,110-86-1,0.3490333333333333,0.09290071163463831,50.11666666666667,10.621937467126962
dibenzothiophene,thiophene,132-65-0,110-02-1,0.35135000000000005,0.08265367001329503,51.73333333333334,9.655295035482977
"1,2-diphenylbenzene",cyclohexane,84-15-1,110-82-7,0.614025,0.2054206583452599,35.75,10.175952043912156
"1,2-diphenylbenzene",benzene,84-15-1,71-43-2,0.735225,0.1264863703131685,38.95,9.05704145954958
